图片链接,,谣言内容,谣言来源,发布时间
https://www.piyao.org.cn/20231120/cbd03f2b47204cddbb4912b5fe986b7b/e51ac77264454a1da3a94555cdadd97c.jpg,10,使用“司美格鲁肽”能轻松减肥,中国互联网联合辟谣平台,2023/11/20 15:43
https://www.piyao.org.cn/20231120/9d5346c8aabd443a992ff34bf272c148/9842cac3b59c4a5bb26ab0ad00d00428.jpg,11,北京新增摩托车禁行路段,中国互联网联合辟谣平台,2023/11/20 15:43
https://www.piyao.org.cn/20231113/c1dcd2f8f52a468daebcd599d1aa5acc/3bbb80b8237a4b7cac4ed17efaeacce1.jpg,12,外卖平台停止向45岁以上骑手派单,中国互联网联合辟谣平台,2023/11/13 14:25
https://www.piyao.org.cn/20231113/28dbfe76fb884099909c6c3c62bd7ab0/4e828f50b34a47cbb8aa5b0247c8703f.jpg,13,近期兰州新区有学生失踪并发生人身伤害事故,中国互联网联合辟谣平台,2023/11/13 14:25
https://www.piyao.org.cn/20231113/bea3003ba7164749a04375ec3c44acd6/f30c283743734741a02be94271765214.jpg,14,2023年北京“取消地价上限”,中国互联网联合辟谣平台,2023/11/13 14:25
https://www.piyao.org.cn/20231113/e866cedc63a9469ca894c07de6dd4a48/72c5eaa6c88e4c6d8e6ccc866b8b5002.jpg,15,近期广东居民阶梯电价进入“非夏季标准”，要涨价了,中国互联网联合辟谣平台,2023/11/13 14:25
https://www.piyao.org.cn/20231113/444580dca8d44dd999e554f12c2a8d0c/ff64710b57b542f98320d7ba280c8b1e.jpg,16,23省44城自来水检出疑似致癌物,中国互联网联合辟谣平台,2023/11/13 14:25
https://www.piyao.org.cn/20231113/ed86d89f17e3413c80d12444e7a5676b/d2e0cc335cab4f44836cb5b34aaf5b30.jpg,17,生猪140天饲养周期内用34种抗生素,中国互联网联合辟谣平台,2023/11/13 14:25
https://www.piyao.org.cn/20231106/e74b107543414d91a855a2271d17cb80/85c6a65620044c929668466df55f59b2.jpg,18,近期重庆酉阳广场人贩子迷晕小孩,中国互联网联合辟谣平台,2023/11/6 16:53
https://www.piyao.org.cn/20231106/c423af6f79644f3da282976986368091/de38e66ed4d54dad8567e3f489f8b9a8.png,19,网传视频显示四川宜宾三江口有人非法捕捞,中国互联网联合辟谣平台,2023/11/6 16:53
https://www.piyao.org.cn/20231106/41c5eefa75784f01885943da0b71dcf8/247e8b420831411cafdbe94194d7b045.jpg,20,重庆公租房“不摇号直接分房”“一次申请永久居住”,中国互联网联合辟谣平台,2023/11/6 16:53
https://www.piyao.org.cn/20231031/4bdb8164d278405eac6d04d8e990839b/202310314bdb8164d278405eac6d04d8e990839b_202310316b949ab958324dbb8678f48274b8497a.jpg,21,多地将推行按“工龄退休”,中国互联网联合辟谣平台,2023/10/31 15:41
https://www.piyao.org.cn/20231106/b101fbe6791242a383031b2c32de0774/a61982c98f8342518069b0e30bf80946.png,22,“能量石”“保健石”可放心佩戴,中国互联网联合辟谣平台,2023/11/6 16:53
https://www.piyao.org.cn/20231106/8fa1be99a05d4d9588212761800f7849/b62e12cef568417ea0c6185479781272.png,23,中日友好医院是日本人建的医院,中国互联网联合辟谣平台,2023/11/6 16:54
https://www.piyao.org.cn/20231030/1af6ef4f70f44f08868288612a763be3/202310301af6ef4f70f44f08868288612a763be3_20231030d88071b3a3884674831ba0d30142acf0.jpg,24,长沙交警执法时推倒电动车,中国互联网联合辟谣平台,2023/10/30 15:45
https://www.piyao.org.cn/20231106/18790406915e452b803c1a5a06249cd7/b88e588f22f14d398c8049bd10b76b41.png,25,行人发生交通事故，斑马线外赔偿3万斑马线内赔偿30万,中国互联网联合辟谣平台,2023/11/6 16:53
https://www.piyao.org.cn/20231030/5373132ab82e4bc9991ae9f1997402c7/202310305373132ab82e4bc9991ae9f1997402c7_202310308454c3faf0d14d6ca49d23dd0c4c15f9.png,26,天津出现肺吸虫病例已致数百人感染,中国互联网联合辟谣平台,2023/10/30 15:45
https://www.piyao.org.cn/20231030/172a81712e6a45bca165bb2703b0db99/20231030172a81712e6a45bca165bb2703b0db99_20231030bb9fea618f834ff58efef72839c4eb7e.jpg,27,保定化粪池爆炸致1死5重伤30轻伤,中国互联网联合辟谣平台,2023/10/30 15:45
https://www.piyao.org.cn/20231030/11731af4f890471d9351fb5fe1792a1e/2023103011731af4f890471d9351fb5fe1792a1e_20231030fe7e3aa8eb714e32b16178d33751ef41.jpg,28,深圳地铁4号线高架桥衔接处出现裂缝,中国互联网联合辟谣平台,2023/10/30 15:45
https://www.piyao.org.cn/20231030/e7f6c8cc9d2f44afbcdc2095c44a4dbe/20231030e7f6c8cc9d2f44afbcdc2095c44a4dbe_2023103090b2c0c7620e427fb77bcdf376036af3.jpg,29,2024年职工医保缴费将不再划入个人账户,中国互联网联合辟谣平台,2023/10/30 15:45
https://www.piyao.org.cn/20231023/f2977b2a30e84e73be8e9f19ba4331ee/6ff5662d3cbd4f108d706090d2b0712f.png,30,近期西南大学药学院发生爆炸,中国互联网联合辟谣平台,2023/10/24 8:18
https://www.piyao.org.cn/20231023/6141fa5d516a444dabc588167f8822ae/923e7fbb91e944f584abcfb9c21b2f80.jpg,31,近期江苏无锡一工厂发生爆燃，2人死亡,中国互联网联合辟谣平台,2023/10/24 8:18
https://www.piyao.org.cn/20231023/772241f135dc43f887782395345ef3da/30be1cd47439499891bde1cf576272e5.png,32,中储粮决定停止对外收购玉米,中国互联网联合辟谣平台,2023/10/24 8:18
https://www.piyao.org.cn/20231023/5d7de7416ee9416989d10c4ac207bd92/794c195de6ab4cc6a473bd1e0fc4c384.png,33,身份证和手机放在一起会被消磁,中国互联网联合辟谣平台,2023/10/24 8:18
https://www.piyao.org.cn/20231016/d16bc11fe5224acbb2c3c46d38dd3c6d/c64847d3d2f748c98ea250cad5bfc101.png,34,向浙江省嘉兴市红十字会捐款可返利,中国互联网联合辟谣平台,2023/10/16 16:44
https://www.piyao.org.cn/20231016/86467532960a4cc68e05be64756d8938/1ab4c37ed75446e9bfbdf2dc5bd272f7.png,35,安徽泾县发生校园暴力事件致多名小学生受伤,中国互联网联合辟谣平台,2023/10/16 16:44
https://www.piyao.org.cn/20231016/d9f74909b6f2403b9ca2bd7843ce26c4/01a6f18100ed415ba82f61267bb935e6.png,36,上海要申办2036年夏季奥运会,中国互联网联合辟谣平台,2023/10/16 16:44
https://www.piyao.org.cn/20231016/ced8ee1dccba48149afd35c236e2715c/6dc1402127994a47a1654de1f3df78a6.jpg,37,广州地铁遭受恐怖袭击,中国互联网联合辟谣平台,2023/10/16 16:44
https://www.piyao.org.cn/20231016/7c3554651e604c0fac6e4f7dd76fcb65/ce159bec28674a599a44424a5c33cf28.jpg,38,苏锡常将设立“经济特区”,中国互联网联合辟谣平台,2023/10/16 16:44
https://www.piyao.org.cn/20231012/1a192e9d44b24c3ea90b15a1f2f40931/4a7cb9b416ba40469ffd426d47f38986.jpg,39,蘑菇和茄子一起吃会中毒,中国互联网联合辟谣平台,2023/10/16 16:44
https://www.piyao.org.cn/20231008/8a3d6c9313914547bf17e773d2f3dab4/33b295b1c4004080af859a00ba5e4590.jpg,40,护照号码EL开头的为失信人员,中国互联网联合辟谣平台,2023/10/9 16:16
https://www.piyao.org.cn/20231008/64cca3af2eb9472abc460aa920b2cdb3/d94bedd1a47d4238b9916f00ea46a76f.jpg,41,大连核辐射值超出预期,中国互联网联合辟谣平台,2023/10/9 16:16
https://www.piyao.org.cn/20231008/fb1380e3776441b5bf2d3a28b4df6ef4/f916fd2df0c84ac2a927bd3dbeafb28b.jpg,42,民政部养老服务司招聘线上养老服务志愿者,中国互联网联合辟谣平台,2023/10/9 16:16
https://www.piyao.org.cn/20231008/d18ce8d9f0c8468aae5ca3976565ffb9/8ecdb353439d46739f32b079d3890d46.jpg,43,网传G60沪昆高速车辆事故部分视频,中国互联网联合辟谣平台,2023/10/9 16:16
https://www.piyao.org.cn/20231008/037ac12e22324c5eaaba8183f8a53972/8ddb26d4f9cd4231a5b6d60439ac91ad.jpg,44,南京长江隧道漏水了,中国互联网联合辟谣平台,2023/10/9 16:16
https://www.piyao.org.cn/20230925/a5cff0422bf7404d93cdcd2df5770a05/7c7225b13f984b2ea1860cad7f4c55c1.png,45,一所985大学将落户南昌红谷滩,中国互联网联合辟谣平台,2023/9/25 13:26
https://www.piyao.org.cn/20230925/bbaadae18ab84af3880bc5082481fe8b/3ae9b3da319047d6885e4eebcadd8a7f.png,46,第三方平台加速包能优先购买火车票,中国互联网联合辟谣平台,2023/9/25 13:26
https://www.piyao.org.cn/20230925/ecd7fda173224389a661dbbdab1d1637/91a116e8551a49aa9bc7f2ef63569da8.png,47,晚上吃生姜等同于砒霜,中国互联网联合辟谣平台,2023/9/25 13:26
https://www.piyao.org.cn/20230925/bdabc164e8c24ceb9034a7657f743052/a2380bc73293451aac137a9a3f7b65d5.jpg,48,2023年中国工程院将创建大学,中国互联网联合辟谣平台,2023/9/25 13:26
https://www.piyao.org.cn/20230918/ddbe1877662347d49997dc8baea0f4dc/18a1bc8b38dc4b57b8dfca7f06b8208f.jpg,49,国家自然科学基金委员会成立“试点社区”,中国互联网联合辟谣平台,2023/9/18 14:43
https://www.piyao.org.cn/20230918/01d8f8532d0d46439052d6f2c3ab8778/cfb668f2741942108f628edad74327a3.png,50,重庆市政府决定各级最低工资标准减少5%,中国互联网联合辟谣平台,2023/9/18 14:43
https://www.piyao.org.cn/20230918/17047318208d4705957968bcfdee267f/a95d88d0f29c46d2928ab5bac0f9860e.png,51,银川一洒水车司机见义勇为却被罚5000元,中国互联网联合辟谣平台,2023/9/18 14:43
https://www.piyao.org.cn/20230918/1f3806e2b7c3492193fa51752257e947/12136b942222495c93390ba89dcd66a3.png,52,看莲藕孔数就能判断口感,,2023/9/18 14:43
https://www.piyao.org.cn/20230911/809e495343fb46408d9de07c947db8d7/80113ca831414c36b897c5a1fc70a78a.png,53,北京市房山区一河道内惊现碎金,中国互联网联合辟谣平台,2023/9/11 14:26
https://www.piyao.org.cn/20230911/3280d6fe260c4298ba0513d023c63278/26875e8ef4374dbfb4b75c7db3517650.png,54,多地发生“拿100元骗孩子上车带路”事件,中国互联网联合辟谣平台,2023/9/11 14:26
https://www.piyao.org.cn/20230911/eebaf5897d5a4e5fb5e5c2b6c5744c44/67b4d4374a1e4a5da40d512445d2c6af.png,55,收到“医保系统升级”短信需点击链接补交材料,中国互联网联合辟谣平台,2023/9/11 14:26
https://www.piyao.org.cn/20230911/573e592de3af4f81abd2891eb20c86d6/b17f2238c83f4173a774a6614ecc22d6.png,56,近期云南一女大学生失踪遇害,中国互联网联合辟谣平台,2023/9/11 14:26
https://www.piyao.org.cn/20230911/7070badc0983417ba8dcbce37a6a3072/5420c4eb62fc4b3e8b6942af24abbafa.jpg,57,浙江丽水机场2023年9月正式通航,中国互联网联合辟谣平台,2023/9/11 14:26
https://www.piyao.org.cn/20230829/cf7b2275040a4142a7502e4480248693/87fe3f28fa744b038d5cd9f9a49ab32f.jpg,58,亚运会期间浙江快递要停发,中国互联网联合辟谣平台,2023/9/4 18:06
https://www.piyao.org.cn/20230829/6b472bb4f5e64e4aaa4538fc85ba2f5f/09cb78088be2438d9c27799cca13ee36.jpg,59,上海浦东新区川沙附近有毒气泄漏，相关路段要封路一个月,中国互联网联合辟谣平台,2023/9/4 18:06
https://www.piyao.org.cn/20230829/2e793a3690254ae5982826798082ee99/e31db07b8b184e7eb0b59f799a4b414b.png,60,食用含碘盐可防核辐射,中国互联网联合辟谣平台,2023/9/4 18:06
https://www.piyao.org.cn/20230828/d875e26f0c0443c7bbed2894faa3eb12/27c03d97015c41e29a2a904da36f4bce.png,61,2023年8月开始，银行将永久冻结部分存款账户,中国互联网联合辟谣平台,2023/8/29 14:14
https://www.piyao.org.cn/20230828/8e2332a9760f425195bedbe8102f10cf/a0a58a27633e44f4abe363e870185c97.png,62,2023年9月起，办理大额存款业务需证明,中国互联网联合辟谣平台,2023/8/29 14:14
https://www.piyao.org.cn/20230828/51fcd38287884dddb10a3b4fec2822cc/61c5fe08a0714c33a843b6252e38de43.png,63,受日本核污染水排海影响，要赶紧囤盐,中国互联网联合辟谣平台,2023/8/29 14:14
https://www.piyao.org.cn/20230828/1000eab244f344bbbb03cb9d22e38471/34810150a65a47aba1fb0d3d0d895ee2.png,64,8月18日浙江象山一房屋倒塌,中国互联网联合辟谣平台,2023/8/29 14:14
https://www.piyao.org.cn/20230828/fffd3072d7ab414180f1dbee8a8d7b94/cb6aa88d0369478194a4f3d54eb9c3e8.png,65,8月22日济南一大楼着火了,中国互联网联合辟谣平台,2023/8/29 14:14
https://www.piyao.org.cn/20230822/99c77533774d402f903f61bf9316c725/2023082299c77533774d402f903f61bf9316c725_2023082226c7b2e097af43fe9ba2a3b18e069c62.jpg,66,青岛火车站停运了,中国互联网联合辟谣平台,2023/8/22 9:42
https://www.piyao.org.cn/20230811/7be7a34429df4ec38c93028c3c9cc79d/1ff2011a3a334e98bcff0c2ae0227d22.png,67,“贵州省互联网信息服务中心”通知企业上传资料以解除举报,中国互联网联合辟谣平台,2023/8/14 15:58
https://www.piyao.org.cn/20230822/bb594f02108e4abda11343953bcec158/20230822bb594f02108e4abda11343953bcec158_20230821e8dd5897b6c24ef88f176563efde0d4f.jpg,68,湖北汉川有人拿100元感谢费骗小孩上车带路,中国互联网联合辟谣平台,2023/8/22 9:42
https://www.piyao.org.cn/20230822/b84fd2f026724959aa342373c80cf541/20230822b84fd2f026724959aa342373c80cf541_202308214d471b1230cd4e5695437cd3311c4f02.jpg,69,中基协向投资机构发送“罚款、关闭出金通道、注销账户”的《纪律处分决定书》,中国互联网联合辟谣平台,2023/8/22 9:42
https://www.piyao.org.cn/20230829/9f1d1998f49f41c98cdae16a20bd9400/202308299f1d1998f49f41c98cdae16a20bd9400_202308290189a2b475c842e7bb23c2e63348bdcd.jpg,70,8月18日青岛崂山风景区有人“坠山”,中国互联网联合辟谣平台,2023/8/29 14:20
https://www.piyao.org.cn/20230811/519e925b49dd41c69f044226d5c8f8c9/74430248e18049a1aa30b4bf8e3970ed.png,71,深圳现大量断供房,中国互联网联合辟谣平台,2023/8/14 15:58
https://www.piyao.org.cn/20230811/9ddb526ba5424992b1c6d2ea5f71489a/80c90d80e73e4183b03a5d54a2f0b077.jpg,72,“地震云”是地震的先兆,中国互联网联合辟谣平台,2023/8/14 15:58
https://www.piyao.org.cn/20230811/d60738c3d4cb45aba806285f61163a89/b928a0f78a6749448c093c94e24a6ea1.jpg,73,剧烈运动后洗冷水澡,中国互联网联合辟谣平台,2023/8/14 15:58
https://www.piyao.org.cn/20230807/cdfad7f2f712477fa31d89906eacf981/8c11a1baa5ec40378be9be9430bb60d9.png,74,持续强降雨导致卢沟桥坍塌,中国互联网联合辟谣平台,2023/8/7 11:38
https://www.piyao.org.cn/20230807/054cf805eab74b159ee903c438686d89/cee043e093ba4af88d450451f191e211.png,75,上海顾村公园4人树下躲雨被雷劈死,中国互联网联合辟谣平台,2023/8/7 11:38
https://www.piyao.org.cn/20230807/99f0c6a1a60b4347b879940914aae380/1dcbabc53ae84968bf9c8d7cc7fb5341.png,76,国家金融监督管理总局发布有关“清退”“兑付”通知,中国互联网联合辟谣平台,2023/8/7 11:38
https://www.piyao.org.cn/20230807/c7b2e1e7e7514db89543c1def89dc851/ae2f750cb111499d96513dc168cf2d60.png,77,成都大运会双杠赛设施撑垮险酿事故,中国互联网联合辟谣平台,2023/8/7 11:38
https://www.piyao.org.cn/20230731/dd8e054f5bcd437b89874f40642ed0eb/35753cd79a6e4be695b59b8903a9d29a.png,78,在“中国人民银行”APP上存款任意金额，每日利息2%,中国互联网联合辟谣平台,2023/7/31 15:25
https://www.piyao.org.cn/20230731/6f2ae8aa669c42279f1c75520871af1d/258ac089f2444a61b3c7d62f90d7e1fb.jpg,79,台风“杜苏芮”登陆，泉州惠安一海滩吹上来一只鲸鱼,中国互联网联合辟谣平台,2023/7/31 15:25
https://www.piyao.org.cn/20230731/04e27b6d4ff045a2b8a69de02c30e805/0924b3211e39423aac76159911bf5939.png,80,福州仓山区因“杜苏芮”台风出人命,中国互联网联合辟谣平台,2023/7/31 15:25
https://www.piyao.org.cn/20230731/4c2eb612a901427abd8ff7c1cfa53d54/e1733dd3f2274249af4ddb14fa821cbe.jpg,81,近日温州永嘉多地发生洪水损失严重,中国互联网联合辟谣平台,2023/7/31 15:25
https://www.piyao.org.cn/20230731/2d6a71e9bc3c4357982f1938f2f83922/424bef327f784bba826eef0ca84b9ea4.jpg,82,近日西安某小区内有大型猛犬吃小孩,中国互联网联合辟谣平台,2023/7/31 15:25
https://www.piyao.org.cn/20230724/b72d506da43541edab38fa9b8d6da0d9/5e05fe7469314a85b35097a8e5bdbfd3.png,83,中国人民银行工作人员可帮忙关闭贷款App额度,中国互联网联合辟谣平台,2023/7/24 15:58
https://www.piyao.org.cn/20230724/6267ad167732402f8134dd8f2f816955/e3f419a4cb974aa7aa4f038e8783ef59.png,84,今年西安中考有四万“回流生”,中国互联网联合辟谣平台,2023/7/24 15:58
https://www.piyao.org.cn/20230724/e73bd8728d1e4249b308a322f3024a27/bb927e236a324a8f8438f1c73a6fe1cd.png,85,近日上海南站发现弃婴,中国互联网联合辟谣平台,2023/7/24 15:58
https://www.piyao.org.cn/20230724/c03ed92a9b614f6587f127bc93bfafea/e851694276ff43108db5783c32a5c089.png,86,教育部责令校外培训机构进行退费,中国互联网联合辟谣平台,2023/7/24 15:58
https://www.piyao.org.cn/20230717/8e6dbec9cf424603aa6b435ef9fd2e18/3484d895b5ed4b02a0cdfe05143f0f5f.png,87,杭州因举行亚运会将于9月10日至25日放假,中国互联网联合辟谣平台,2023/7/17 16:09
https://www.piyao.org.cn/20230710/4a70c5ee165a490da99f906cac388b20/72172ecec8474702bbad3d61c06521ed.png,88,在“国家电网”App中交电费有分红收益,中国互联网联合辟谣平台,2023/7/10 15:29
https://www.piyao.org.cn/20230710/12a677a8d9314bab9a6f84df45d81528/5c3bc75d346d452f8383e462ca52d435.png,89,“农管”不让村民种瓜种菜、在自家院子晒被子,中国互联网联合辟谣平台,2023/7/10 15:29
https://www.piyao.org.cn/20230717/874d8322a9744067b6cbea8c77c893d7/7bbbc8b41892410b95e2e8b74e9d5930.png,90,云南一男子上山拾菌遇老虎,中国互联网联合辟谣平台,2023/7/17 16:09
https://www.piyao.org.cn/20230710/55b656fac5164fb29d1c1ed302933685/2d41b2838e664f5c83532d70c2f8725a.jpg,91,长期喝“有水垢的水”会得肾结石,中国互联网联合辟谣平台,2023/7/10 15:29
https://www.piyao.org.cn/20230703/feb197cd2d554457b763f3538dbcec54/20230703feb197cd2d554457b763f3538dbcec54_2023070395635874271744c0bcc342efa6d13ec0.png,92,新疆旅游旺季各景区及旅行社收费将上涨,中国互联网联合辟谣平台,2023/7/4 9:42
https://www.piyao.org.cn/20230724/224b5dfd36f04cd1815034bb95134059/c6339e5b83104fb6acb1e63faccf9f6d.png,93,7月15日珠海大桥发生抛尸案,中国互联网联合辟谣平台,2023/7/24 15:58
https://www.piyao.org.cn/20230717/020d7c75ddb140be91fd42d434af238e/cb00a2a50c1c42a084802177017859c9.png,94,年薪百万招聘天津航空飞行员,中国互联网联合辟谣平台,2023/7/17 16:09
https://www.piyao.org.cn/20230710/5d40f123637943fc8f9efbe731c630d3/59b1e2a585b942989cdd28734532ad55.png,95,7月初有一架直升机在江苏宿迁泗洪坠毁,中国互联网联合辟谣平台,2023/7/10 15:29
https://www.piyao.org.cn/20230626/8883fe4bd78c47cbaaa66334546bd0c0/202306268883fe4bd78c47cbaaa66334546bd0c0_2023062695e4cfe2719544eabe8cfa70f51454d2.jpg,96,四川乐山售卖假冒矿泉水,中国互联网联合辟谣平台,2023/6/26 15:22
https://www.piyao.org.cn/20230626/1bd8d00e305c453ba0db3e14f2468da8/2442d904fd38431dbf8ca39e0a0bbf61.jpg,97,国家有“退林还耕”政策,中国互联网联合辟谣平台,2023/6/26 15:26
https://www.piyao.org.cn/20230619/c183253abfa8443c985f61c0a9846559/6dd0193414664f4383b06255f0c7971d.jpg,98,网传图片显示三峡大坝“着火”和“决堤”,中国互联网联合辟谣平台,2023/6/19 17:17
https://www.piyao.org.cn/20230626/0b04c6af6257447a99ced3d4ce86bc4e/cb074d048a3d4affa621e013556225ea.jpg,99,6月25日泉州突发山体滑坡淹没公路,中国互联网联合辟谣平台,2023/6/26 15:26
https://www.piyao.org.cn/20230619/18f8149df4ee42a0833ebdac5231a409/cafd3f3580b5497fb2085c1f84edbd04.jpg,100,成都大运会期间全市在建工程项目全部停工,中国互联网联合辟谣平台,2023/6/19 17:17
https://www.piyao.org.cn/20230619/df5ab09e6087433b883c521ed64d3894/29ad696d6eb14fafb32cc2f042832c9b.jpg,101,黄瓜顶部带花是因为打了激素，不能吃,中国互联网联合辟谣平台,2023/6/19 17:17
https://www.piyao.org.cn/20230612/445490c470c04a2099542e28a98e65ef/8d8cbf0bb82e4a2888694bd5e5c8b536.jpg,102,国铁集团授权“八纵八横 ”APP推出理财产品,中国互联网联合辟谣平台,2023/6/13 12:18
https://www.piyao.org.cn/20230703/7949513fae4943b1873d191c608f4d0f/202307037949513fae4943b1873d191c608f4d0f_20230703640802a1c58044a0939fe33cdb6d4e09.png,103,上海医院门诊检查出猴痘飞沫传染,中国互联网联合辟谣平台,2023/7/4 9:41
https://www.piyao.org.cn/20230710/9095a31927434e558c0717b8f56ed5df/64616f740dac4b309eeca312a6b5ce9a.jpg,104,父亲是“老赖”导致女儿710分落榜,中国互联网联合辟谣平台,2023/7/10 15:29
https://www.piyao.org.cn/20230612/6913c099d2b14aadbb73523bf6b3a556/091f449057ea45cd8f25889cd299cfd1.jpg,105,中国商飞发布“C919私募基金”等投资理财项目,中国互联网联合辟谣平台,2023/6/13 12:18
https://www.piyao.org.cn/20230703/e04d78078150469e875b2dc5b2e13691/20230703e04d78078150469e875b2dc5b2e13691_202307033c40088ab0c2438eab6fbb5346f1e1ff.png,106,三部门联合发文将发放家庭农场等涉农补贴,中国互联网联合辟谣平台,2023/7/4 9:41
https://www.piyao.org.cn/20230619/8840c926b4c04d5ea2e89c84b74ab970/0f980d4e714f45c2b491209c7f449f53.jpg,107,成都第四医院围墙垮塌，精神病患者跑到大街上,中国互联网联合辟谣平台,2023/6/19 17:17
https://www.piyao.org.cn/20230612/a421a4c1b8c74116ba5e0cee34de1d52/9b458b550f2a4acfbe076652a0ed4f8a.jpg,108,顶级中国科学家接受BBC采访称“不该排除实验室泄漏新冠病毒”,中国互联网联合辟谣平台,2023/6/13 12:18
https://www.piyao.org.cn/20230612/a11cf20e4f8b4f7f8774530a67f43521/83211e4eaf2647a2b97bb819bd66a99f.jpg,109,财政部发行金融债券,中国互联网联合辟谣平台,2023/6/13 12:18
https://www.piyao.org.cn/20230605/1681afa68cd445a58727370e5d71ca3c/8d3cf5a3e61d4c8088dcaf6ec311faf5.jpg,110,樱桃核有毒，误食会被毒晕,中国互联网联合辟谣平台,2023/6/5 15:59
https://www.piyao.org.cn/20230605/aec543df76de4d14a5a1d35009d19746/3ff480799d3549e79709d1687f099d4f.jpg,111,北京即将禁止京A摩托车牌照过户,中国互联网联合辟谣平台,2023/6/5 15:59
https://www.piyao.org.cn/20230605/5b4945667bed4faebfe70488fc1147e9/8cd2a71341c44c8380f43163d7a714ee.jpg,112,济南居民用电，早晚电价不同,中国互联网联合辟谣平台,2023/6/5 15:59
https://www.piyao.org.cn/20230605/0304359d297343689c8466fecd8f7a94/c782f4ee05bf49f8abd349ed15576af0.jpg,113,上海中山医院急诊科100位医护人员感染新冠阳性,中国互联网联合辟谣平台,2023/6/5 15:59
https://www.piyao.org.cn/20230529/55a0791773ef4865ad1a18d6ffd02b6f/00936593318e423e85396b48f15db22a.png,114,社保卡有多种颜色，不同颜色用途不同,中国互联网联合辟谣平台,2023/5/29 18:43
https://www.piyao.org.cn/20230529/81dad1fa2ace42418263b60118293bde/d8a4d9ff18314fb7bb7c667d0fa5aeca.png,115,安徽巢湖柘皋打捞出一架战斗机,中国互联网联合辟谣平台,2023/5/29 18:43
https://www.piyao.org.cn/20230529/0285ba2fef0a47c8abf9b18b9c953ebe/cc78bc4d086c488e99dccc4aee154b77.png,116,有“国家补短板强弱项领导小组”设立专项补贴,中国互联网联合辟谣平台,2023/5/29 18:43
https://www.piyao.org.cn/20230529/749eb40dce684a9a8b325f86ac612a0d/750659089bad49328b33612bf293b6bf.jpg,117,八达岭长城景区卖“天价”矿泉水,中国互联网联合辟谣平台,2023/5/29 18:43
https://www.piyao.org.cn/20230529/b6f81ccf84464789adc1d359d5aebe5b/74e286471bc04f429a4e440e86587d95.jpg,118,深圳医保统筹额度再不花，6月底就“清零”,中国互联网联合辟谣平台,2023/5/29 18:43
https://www.piyao.org.cn/20230529/aac615eed9374bebb5c5b2e9e5225e98/e60ffcbd44674bf58d038a1933fef108.png,119,四川省凉山州宁南县、云南省等地5月发生重大地质灾害,中国互联网联合辟谣平台,2023/5/29 18:43
https://www.piyao.org.cn/20230522/af0a2867feaa4a86a103af7e0030e1c4/96799e0854fc4aa58e2c9b8c9c15d756.jpg,120,“朋友圈出租”一条就能赚100元,中国互联网联合辟谣平台,2023/5/22 17:25
https://www.piyao.org.cn/20230522/948635e7c25541a3b6df7401dda19dca/9a2e03c049b141798df40caad8e07f44.png,121,喝苏打水能治疗高尿酸,中国互联网联合辟谣平台,2023/5/22 17:25
